ID,Invernadero,Municipio,CP,IIBB,Area_Total,Propia,Area_Tomate,Variedades,Produccion_Total,Reduccion_Rendimiento,Reducion_Cantidad_Fertilizante,Reduccion_Costo_Mano_de_Obra,Reduccion_Tiempo,Reduccion_Costo_Maquinaria,Factores_Informacion,Factores_Vecinos,Factores_Impacto_Ambiental,Factores_Mayores_Ingresos,Factores_Menores_Costos,Factores_Mayores_Rendimientos,Factores_Control_Plagas,Factores_Mundo_Mejor,Afirmaciones_Convencional_Sostenible,Afrimaciones_Plaguicidas_Estabilidad_Economica,Afirmaciones_Altos_Rendimientos_Sin_Pesticidas,Afirmaciones_Pesticidas_No_Daninos,Afirmacion_Demanda_Fibras,Afirmacion_Ecologico_Economicamente_Arriesgada,Afirmacion_Control_Biologico_Sustituye_Pesticidas,Afirmacion_Me_Intereso_Tecnologia,UE_Directiva_Plaguicidas,UE_Granja_A_La_Mesa,UE_Biodiversidad,UE_Nitratos,UE_Aves,UE_Agua,Anos,Sexo,Hijos,Estudios,Educacion_Agricultura,Anos_agricultor,ubi_geocode,lat,lon,categoria_map
AGR_11,FALSE,Sevilla,41015,0,200,FALSE,14,1,250,Disminuye,Ninguna Diferencia,Ninguna Diferencia,Ninguna Diferencia,Aumenta,Poco Importante,Poco Importante,Muy Importante,Poco Importante,Poco Importante,Poco Importante,Importante,Muy Importante,"Ni de Acuerdo, Ni en Desacuerdo",En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,Ns/Nc,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo",No Conozco,Util,Util,Util,No Conozco,No Conozco,71,M,2,Universitario,No,60,"41015, Sevilla",37.439299,-5.9885456,1
AGR_12,FALSE,Sevilla,41015,0,100,FALSE,32,4,60,Disminuye,Ninguna Diferencia,Disminuye,Disminuye,Disminuye,Muy Importante,Muy Importante,Importante,Nada Importante,Nada Importante,Poco Importante,Poco Importante,Muy Importante,En Desacuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,No Conozco,Util,Util,Util,No Conozco,Inutil,75,F,1,Secundario,No,9,"41015, Sevilla",37.439299,-5.9885456,1
AGR_13,FALSE,Sevilla,41130,4,30000,FALSE,1575,1,4125,Ninguna Diferencia,Ninguna Diferencia,Aumenta,Aumenta,Ninguna Diferencia,Muy Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,En Desacuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,En Desacuerdo,De Acuerdo,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo",Util,Util,Util,Util,Util,Util,49,M,0,Secundario,No,20,"41130, Sevilla",37.1196979,-6.089103199999999,3
AGR_14,FALSE,Cortelazor,21208,0,100,TRUE,60,1,350,Aumenta,Disminuye,Ninguna Diferencia,Disminuye,Disminuye,Poco Importante,Importante,Muy Importante,Poco Importante,Poco Importante,Importante,Importante,Importante,En Desacuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,Ns/Nc,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo",No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,48,M,1,Secundario,No,10,"21208, Cortelazor",37.93594239999999,-6.625235399999999,1
AGR_15,FALSE,Gines,41960,0,60,FALSE,9,1,196,Aumenta,Ns/Nc,Aumenta,Ns/Nc,Ns/Nc,Muy Importante,Muy Importante,Poco Importante,Nada Importante,Importante,Muy Importante,Importante,Nada Importante,De Acuerdo,De Acuerdo,En Desacuerdo,"Ni de Acuerdo, Ni en Desacuerdo",En Desacuerdo,En Desacuerdo,"Ni de Acuerdo, Ni en Desacuerdo","Ni de Acuerdo, Ni en Desacuerdo",Inutil,No Conozco,Inutil,No Conozco,No Conozco,Inutil,27,F,0,Universitario,No,1,"41960, Gines",37.3843039,-6.0758624,1
AGR_16,FALSE,Sevilla,41015,0,100,FALSE,5,1,70,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,En Desacuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,"Ni de Acuerdo, Ni en Desacuerdo","Ni de Acuerdo, Ni en Desacuerdo",Ns/Nc,En Desacuerdo,No Conozco,No Conozco,Util,No Conozco,Util,Util,82,F,3,Secundario,No,9,"41015, Sevilla",37.439299,-5.9885456,1
AGR_17,FALSE,Sevilla,41015,0,100,FALSE,15,1,40,Ninguna Diferencia,Ninguna Diferencia,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,En Desacuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,Ns/Nc,"Ni de Acuerdo, Ni en Desacuerdo",No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,77,F,1,Universitario,No,12,"41015, Sevilla",37.439299,-5.9885456,1
AGR_18,FALSE,Almocita,04458,2,30000,TRUE,3000,3,2600,Ninguna Diferencia,Ninguna Diferencia,Disminuye,Disminuye,Disminuye,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,En Desacuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,De Acuerdo,De Acuerdo,En Desacuerdo,Inutil,Inutil,Inutil,No Conozco,No Conozco,No Conozco,62,M,3,Primario,No,48,"04458, Almocita",37.003002,-2.7901189,3
AGR_19,FALSE,Alhaurin de la Torre,29130,0,3500,TRUE,80,4,800,Aumenta,Ninguna Diferencia,Disminuye,Aumenta,Aumenta,Importante,Importante,Muy Importante,Poco Importante,Poco Importante,Importante,Importante,Muy Importante,En Desacuerdo,En Desacuerdo,En Desacuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,En Desacuerdo,De Acuerdo,Util,Util,Util,Util,Util,Util,50,F,3,Universitario,Si,10,"29130, Alhaurin de la Torre",36.6598945,-4.5598636,2
AGR_20,FALSE,Jerez de la Frontera,11407,9,100,FALSE,36,3,100,Disminuye,Ninguna Diferencia,Disminuye,Aumenta,Disminuye,Importante,Nada Importante,Importante,Nada Importante,Nada Importante,Nada Importante,Poco Importante,Importante,En Desacuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo",Util,Util,Util,Util,Util,Util,38,F,2,Universitario,Si,3,"11407, Jerez de la Frontera",36.7047853,-6.1367935,1
AGR_21,FALSE,Berchules,18451,4,11000,TRUE,11000,2,90000,Ninguna Diferencia,Ninguna Diferencia,Disminuye,Ninguna Diferencia,Disminuye,Muy Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,"Ni de Acuerdo, Ni en Desacuerdo","Ni de Acuerdo, Ni en Desacuerdo",En Desacuerdo,En Desacuerdo,En Desacuerdo,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo","Ni de Acuerdo, Ni en Desacuerdo",No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,33,M,0,Universitario,Si,20,"18451, Berchules",36.9751577,-3.1911469,2
AGR_22,TRUE,Nijar,04100,6,40000,TRUE,240000,1,2400000,Aumenta,Aumenta,Aumenta,Aumenta,Disminuye,Muy Importante,Muy Importante,Importante,Importante,Importante,Importante,Importante,Muy Importante,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo",De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,Inutil,Inutil,Inutil,Inutil,Inutil,Inutil,53,M,3,Secundario,No,45,"04100, Nijar",36.9559467,-2.1646722,4
AGR_23,FALSE,Sevilla,41015,0,100,FALSE,20,2,320,Ninguna Diferencia,Ninguna Diferencia,Ninguna Diferencia,Aumenta,Disminuye,Poco Importante,Muy Importante,Muy Importante,Nada Importante,Nada Importante,Nada Importante,Importante,Muy Importante,En Desacuerdo,En Desacuerdo,En Desacuerdo,En Desacuerdo,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo",En Desacuerdo,En Desacuerdo,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,58,F,0,Secundario,No,2,"41015, Sevilla",37.439299,-5.9885456,1
AGR_24,FALSE,Sevilla,41015,0,100,FALSE,40,1,360,Disminuye,Ninguna Diferencia,Ninguna Diferencia,Disminuye,Disminuye,Importante,Importante,Importante,Poco Importante,Poco Importante,Poco Importante,Poco Importante,Muy Importante,En Desacuerdo,En Desacuerdo,"Ni de Acuerdo, Ni en Desacuerdo",En Desacuerdo,"Ni de Acuerdo, Ni en Desacuerdo",Ns/Nc,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo",No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,54,M,2,Secundario,No,12,"41015, Sevilla",37.439299,-5.9885456,1
